MonthNum,WeekDayNum,DayNum,HourNum,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
2,0,1,3,-0.164873889,-0.174106372,-0.046159131,-0.127122066,-0.188201555,-0.208597224,-0.20254483,-0.122314729,-0.171782943
2,0,1,4,-0.154896743,-0.156667685,-0.0401675,-0.111225427,-0.166939208,-0.209342753,-0.190028798,-0.10750923,-0.158100522
2,0,1,5,-0.117704031,-0.118573607,-0.025519081,-0.096602361,-0.144802735,-0.168468512,-0.156291779,-0.085112409,-0.12725252
2,0,1,6,-0.077871925,-0.070722097,-0.013295187,-0.035905842,-0.06217912,-0.143302476,-0.09141953,-0.03670038,-0.072520307
2,0,1,7,0.011768843,0.057270931,0.031787192,0.066623634,0.068369121,-0.016603767,0.039837126,0.072289289,0.039693168
2,0,1,8,0.02884482,0.071693951,0.027426248,0.074536555,0.077307751,0.016829836,0.06656449,0.085823412,0.054446248
2,0,1,9,0.038917636,0.069851809,0.03460778,0.083424828,0.088918004,0.006699042,0.064168801,0.085890428,0.060926331
2,0,1,10,0.058010279,0.065698834,0.026926595,0.065715622,0.07620663,0.020397241,0.059065913,0.063710184,0.060471662
2,0,1,11,0.055483625,0.019697414,-0.000848687,0.020308618,0.026545628,0.02373418,0.01789689,0.002128293,0.03008552
2,0,1,12,0.070617265,0.037853398,0.011204335,0.032265711,0.049993455,0.037974003,0.037746082,0.022162438,0.049119983
2,0,1,13,0.069938698,0.022303988,3.04E-05,0.004637049,0.024925302,0.046847645,0.020809497,-0.004723122,0.035801185
2,0,1,14,0.061199979,-0.027584029,-0.020440201,-0.044016914,-0.034537105,0.040384056,-0.02756064,-0.06266729,-0.000875866
2,0,1,15,0.070198706,-0.000720541,-0.008297311,-0.025869557,-0.007276486,0.065801329,0.005596815,-0.030779269,0.021323084
2,0,1,16,0.067355414,-0.009184501,-0.011162867,-0.035308776,-0.017433227,0.075519891,0.011031245,-0.03314056,0.018016378
2,0,1,17,0.050633021,-0.040139547,-0.022117161,-0.064724064,-0.055549352,0.056951718,-0.018327138,-0.075103399,-0.009304445
2,0,1,18,0.068983924,0.019774772,-0.01216332,-0.016876052,0.013321537,0.076074317,0.047756632,-0.021195597,0.036444656
2,0,1,19,0.099462804,0.086640603,0.009042573,0.035788268,0.073998308,0.12130256,0.116468217,0.02959777,0.086133003
2,0,1,20,0.071207535,0.04539912,0.005663118,0.007722645,0.02922493,0.098177593,0.076999628,-0.003748068,0.051174258
2,0,1,21,0.082187425,0.08516389,0.026207249,0.038593688,0.070794717,0.132588795,0.112057816,0.043812928,0.082070966
